row_number,NDVI,Pred_Veg,geometry,latitude,longitude,area,centroid_latitude,centroid_longitude
45,0.690552,Fen,"POLYGON Z ((464798.69400000013 7194842.735100001 0, 464793.49399999995 7194842.735100001 0, 464793.49399999995 7194837.535100002 0, 464788.29399999976 7194837.535100002 0, 464788.29399999976 7194847.9351 0, 464793.49399999995 7194847.9351 0, 464793.49399999995 7194853.1351 0, 464798.69400000013 7194853.1351 0, 464798.69400000013 7194842.735100001 0))",,,108.1599999883771,7194845.335100001,464793.494
46,0.700162,Fen,"POLYGON Z ((464840.29399999976 7194827.1351 0, 464824.69400000013 7194827.1351 0, 464824.69400000013 7194832.335099999 0, 464819.49399999995 7194832.335099999 0, 464819.49399999995 7194837.535100002 0, 464819.49399999995 7194847.9351 0, 464824.69400000013 7194847.9351 0, 464824.69400000013 7194853.1351 0, 464829.8940000003 7194853.1351 0, 464829.8940000003 7194847.9351 0, 464845.49399999995 7194847.9351 0, 464845.49399999995 7194842.735100001 0, 464840.29399999976 7194842.735100001 0, 464840.29399999976 7194827.1351 0))",,,459.68000000871723,7194839.2174529405,464830.96458823496
47,0.742896,Shrubland,"POLYGON Z ((464413.8940000003 7194837.535100002 0, 464413.8940000003 7194847.9351 0, 464424.29399999976 7194847.9351 0, 464429.49399999995 7194847.9351 0, 464429.49399999995 7194842.735100001 0, 464434.69400000013 7194842.735100001 0, 464445.0939999996 7194842.735100001 0, 464445.0939999996 7194837.535100002 0, 464455.49399999995 7194837.535100002 0, 464455.49399999995 7194832.335099999 0, 464445.0939999996 7194832.335099999 0, 464434.69400000013 7194832.335099999 0, 464424.29399999976 7194832.335099999 0, 464424.29399999976 7194837.535100002 0, 464413.8940000003 7194837.535100002 0))",,,405.6000000532717,7194839.0951,464432.0940000023
48,0.741271,Shrubland,"POLYGON Z ((464481.49399999995 7194832.335099999 0, 464476.29399999976 7194832.335099999 0, 464476.29399999976 7194837.535100002 0, 464471.0939999996 7194837.535100002 0, 464465.8940000003 7194837.535100002 0, 464465.8940000003 7194847.9351 0, 464460.69400000013 7194847.9351 0, 464460.69400000013 7194853.1351 0, 464476.29399999976 7194853.1351 0, 464481.49399999995 7194837.535100002 0, 464481.49399999995 7194832.335099999 0))",,,256.8799999772385,7194844.377205262,464472.18873684265
49,0.748289,Shrubland,"POLYGON Z ((464512.69400000013 7194821.9351 0, 464512.69400000013 7194832.335099999 0, 464502.29399999976 7194832.335099999 0, 464502.29399999976 7194837.535100002 0, 464502.29399999976 7194842.735100001 0, 464517.8940000003 7194842.735100001 0, 464517.8940000003 7194837.535100002 0, 464523.0939999996 7194837.535100002 0, 464523.0939999996 7194832.335099999 0, 464517.8940000003 7194832.335099999 0, 464517.8940000003 7194821.9351 0, 464512.69400000013 7194821.9351 0))",,,243.36000004649162,7194834.935100001,464512.4051111111
50,0.75786,Herbaceous,"POLYGON Z ((464580.29399999976 7194842.735100001 0, 464580.29399999976 7194837.535100002 0, 464585.49399999995 7194837.535100002 0, 464585.49399999995 7194821.9351 0, 464580.29399999976 7194821.9351 0, 464580.29399999976 7194827.1351 0, 464575.0939999996 7194827.1351 0, 464575.0939999996 7194832.335099999 0, 464564.69400000013 7194832.335099999 0, 464564.69400000013 7194837.535100002 0, 464569.8940000003 7194837.535100002 0, 464569.8940000003 7194847.9351 0, 464580.29399999976 7194847.9351 0, 464580.29399999976 7194842.735100001 0))",,,297.44000003099444,7194835.880554546,464576.74854545423
51,0.732881,Fen,"POLYGON Z ((464611.49399999995 7194832.335099999 0, 464606.29399999976 7194832.335099999 0, 464606.29399999976 7194847.9351 0, 464611.49399999995 7194847.9351 0, 464616.69400000013 7194847.9351 0, 464616.69400000013 7194853.1351 0, 464621.8940000003 7194853.1351 0, 464621.8940000003 7194832.335099999 0, 464611.49399999995 7194832.335099999 0))",,,270.4000000290573,7194841.175099999,464614.61399999994
52,0.727919,Fen,"POLYGON Z ((464642.69400000013 7194827.1351 0, 464642.69400000013 7194837.535100002 0, 464647.8940000003 7194837.535100002 0, 464647.8940000003 7194842.735100001 0, 464663.49399999995 7194842.735100001 0, 464668.69400000013 7194842.735100001 0, 464668.69400000013 7194832.335099999 0, 464663.49399999995 7194832.335099999 0, 464663.49399999995 7194827.1351 0, 464642.69400000013 7194827.1351 0))",,,351.5200000445545,7194834.935099999,464655.694
53,0.692222,Fen,"POLYGON Z ((464845.49399999995 7194827.1351 0, 464840.29399999976 7194827.1351 0, 464840.29399999976 7194842.735100001 0, 464845.49399999995 7194842.735100001 0, 464845.49399999995 7194847.9351 0, 464861.0939999996 7194847.9351 0, 464861.0939999996 7194842.735100001 0, 464866.29399999976 7194842.735100001 0, 464866.29399999976 7194837.535100002 0, 464861.0939999996 7194837.535100002 0, 464861.0939999996 7194832.335099999 0, 464855.8940000003 7194832.335099999 0, 464855.8940000003 7194827.1351 0, 464845.49399999995 7194827.1351 0))",,,405.6000000193716,7194837.708433334,464851.5606666663
54,0.696608,Fen,"POLYGON Z ((464897.49399999995 7194821.9351 0, 464897.49399999995 7194816.735100001 0, 464881.8940000003 7194816.735100001 0, 464881.8940000003 7194827.1351 0, 464866.29399999976 7194827.1351 0, 464866.29399999976 7194832.335099999 0, 464871.49399999995 7194832.335099999 0, 464871.49399999995 7194842.735100001 0, 464881.8940000003 7194842.735100001 0, 464881.8940000003 7194837.535100002 0, 464887.0939999996 7194837.535100002 0, 464887.0939999996 7194827.1351 0, 464897.49399999995 7194827.1351 0, 464897.49399999995 7194821.9351 0))",,,405.5999999951571,7194829.041766668,464882.41399999935
55,0.744719,Shrubland,"POLYGON Z ((464413.8940000003 7194821.9351 0, 464413.8940000003 7194837.535100002 0, 464424.29399999976 7194837.535100002 0, 464424.29399999976 7194832.335099999 0, 464434.69400000013 7194832.335099999 0, 464434.69400000013 7194827.1351 0, 464429.49399999995 7194827.1351 0, 464429.49399999995 7194811.535100002 0, 464419.0939999996 7194811.535100002 0, 464419.0939999996 7194821.9351 0, 464413.8940000003 7194821.9351 0))",,,351.51999998643987,7194825.335100003,464422.8939999997
56,0.732764,Fen,"POLYGON Z ((464476.29399999976 7194811.535100002 0, 464471.0939999996 7194811.535100002 0, 464471.0939999996 7194806.335099999 0, 464465.8940000003 7194806.335099999 0, 464465.8940000003 7194816.735100001 0, 464460.69400000013 7194816.735100001 0, 464460.69400000013 7194821.9351 0, 464455.49399999995 7194821.9351 0, 464455.49399999995 7194832.335099999 0, 464455.49399999995 7194837.535100002 0, 464465.8940000003 7194837.535100002 0, 464471.0939999996 7194837.535100002 0, 464471.0939999996 7194821.9351 0, 464476.29399999976 7194821.9351 0, 464476.29399999976 7194811.535100002 0))",,,405.60000000484285,7194824.188433335,464465.7206666661
57,0.745708,Shrubland,"POLYGON Z ((464491.8940000003 7194827.1351 0, 464491.8940000003 7194811.535100002 0, 464486.69400000013 7194811.535100002 0, 464481.49399999995 7194821.9351 0, 464476.29399999976 7194821.9351 0, 464471.0939999996 7194821.9351 0, 464471.0939999996 7194837.535100002 0, 464476.29399999976 7194837.535100002 0, 464476.29399999976 7194832.335099999 0, 464481.49399999995 7194832.335099999 0, 464481.49399999995 7194827.1351 0, 464491.8940000003 7194827.1351 0))",,,270.3999999903142,7194824.448433335,464481.58066666615
