Creamers_Calculated_Distance,Farmers 1_Calculated_Distance,Farmers 2_Calculated_Distance,Tunnel_Calculated_Distance,NaN_Values_Calculated_Distance,Creamers_Difference,Farmers 1_Difference,Farmers 2_Difference,Tunnel_Difference,NaN_Values_Difference
3.828624426557964,3.9319984740983123,3.9592965283094848,4.054110259874224,,0.0,-4.440892098500626e-16,,0.0,
4.391409910807864,3.875686777888542,4.2115148108475795,4.024370882554846,,0.0,0.0,,0.0,
3.915139078026656,4.0578369853098435,3.9035708009964187,3.9663319327620217,,0.0,-8.881784197001252e-16,,4.440892098500626e-16,
3.595298318247048,7.272490976334539,3.9978380408338374,3.962851119809637,,0.0,0.0,,0.0,
4.893888535292313,4.095953124535081,3.941012687277439,3.8443226973762714,,0.0,0.0,,-4.440892098500626e-16,
3.276874272994462,3.9613457311261144,4.448477154814569,4.142050699885274,,0.0,-4.440892098500626e-16,,0.0,
4.441960490787953,4.078620967641561,3.9837074442424893,3.938060689990388,,0.0,0.0,,0.0,
3.9943610250905115,4.2082644879341355,4.110270185673367,4.06218377239949,,-4.440892098500626e-16,8.881784197001252e-16,,0.0,
4.172167302698767,3.7188476709008973,3.8247265262467067,3.7792624941653665,,0.0,-4.440892098500626e-16,,4.440892098500626e-16,
3.9442901765663505,4.170926635898231,3.6732854504383887,4.176396772536305,,4.440892098500626e-16,0.0,,0.0,
3.9282394278247628,3.792752298559112,2.6350685000237184,3.904476661362549,,4.440892098500626e-16,0.0,,0.0,
4.344657524244668,4.064944034090083,5.230376276994552,4.07821235353283,,0.0,0.0,,0.0,
3.694354206117054,4.021528316301182,4.084338991675516,3.8810794889192115,,0.0,0.0,,4.440892098500626e-16,
3.943487416029762,4.061524467502745,4.170826416990483,4.0834550321443785,,0.0,0.0,,8.881784197001252e-16,
4.301757431213559,3.8212391969082518,3.8546409690893446,4.12314079324122,,0.0,4.440892098500626e-16,,0.0,
3.7898456430507927,4.210471351537702,4.17306841533503,3.954535876637782,,4.440892098500626e-16,0.0,,0.0,
3.9884352824910154,3.9183615196624335,3.951302063874977,3.7087930652305836,,-4.440892098500626e-16,4.440892098500626e-16,,4.440892098500626e-16,
4.060924155766025,3.9548941829407807,3.9327621336900034,3.872550838853258,,0.0,4.440892098500626e-16,,0.0,
3.9286702589143223,3.8483412011445886,3.8256651709799545,4.1157143974165304,,-4.440892098500626e-16,4.440892098500626e-16,,-8.881784197001252e-16,
4.037749496125743,4.0787396338316615,4.146184993284003,4.025507172903759,,0.0,-8.881784197001252e-16,,0.0,
3.9072221596267154,4.0223561502777105,4.2812896422103535,3.9613529254779687,,-4.440892098500626e-16,8.881784197001252e-16,,4.440892098500626e-16,
4.612286634257392,3.940457461055513,3.8529257713266705,3.8462528518765207,,0.0,0.0,,4.440892098500626e-16,
3.78207099394182,4.085864045565515,3.8457332199426726,3.9839422685942805,,0.0,0.0,,-4.440892098500626e-16,
3.3985669037281885,4.004256984649274,4.19725207728175,4.217030353226054,,-4.440892098500626e-16,0.0,,0.0,
5.128454152618666,3.8475618254403297,4.244247872014617,3.698444673130846,,0.0,4.440892098500626e-16,,0.0,
4.310311474084154,4.082427953950888,4.280204784861954,4.115551603368365,,0.0,0.0,,0.0,
4.315083429391136,3.984140685232307,4.0746231727420605,3.9100180306587093,,0.0,0.0,,-4.440892098500626e-16,
3.5926914702135377,4.03861374743201,3.8091685443563197,4.031004465388066,,4.440892098500626e-16,0.0,,0.0,
4.176243407584604,3.8686288267012823,3.8588104385328603,3.9830847342429916,,0.0,-4.440892098500626e-16,,4.440892098500626e-16,
4.074809443347766,4.261383812924745,3.9591030551388005,3.9715489421046097,,0.0,0.0,,4.440892098500626e-16,
3.6084064349631038,3.9604243461386277,3.911159546590396,4.136220617985537,,4.440892098500626e-16,4.440892098500626e-16,,0.0,
4.062807526739987,3.743483404450916,4.135273630662223,3.877249153808768,,0.0,0.0,,0.0,
3.939000000245869,4.255754809780081,3.9789006018758886,4.1498149354907605,,0.0,0.0,,8.881784197001252e-16,
4.34435219516123,3.8250241828712426,4.011054350266846,4.063506490676724,,0.0,4.440892098500626e-16,,0.0,
3.9751057853149834,4.050634641504463,4.087315255751502,4.04307123368551,,-4.440892098500626e-16,0.0,,0.0,
3.863457777578733,4.087326388116609,4.032196547720369,3.793734044583106,,0.0,0.0,,0.0,
3.902104175680161,3.9746187236827275,3.959237300182108,3.9299802796965713,,0.0,4.440892098500626e-16,,-4.440892098500626e-16,
4.224413805478616,3.946382900922565,3.946836327960381,4.031389958894992,,0.0,0.0,,0.0,
3.721808162446746,3.9432679339269003,3.970954671211711,4.097499847466106,,0.0,-4.440892098500626e-16,,0.0,
3.922339098134403,4.223686659943092,4.129792246682603,4.030031761688697,,0.0,0.0,,0.0,
4.265344300163201,4.2105287076902655,3.99395105131893,4.0448135926807876,,0.0,8.881784197001252e-16,,8.881784197001252e-16,
3.8925716434842585,3.983199216903744,3.886106663354753,3.99268556242231,,4.440892098500626e-16,0.0,,0.0,
4.020957597916607,4.036094770832712,4.118244771747033,3.8106807790218578,,0.0,0.0,,4.440892098500626e-16,
4.022408358085053,3.783652468301537,3.8215483772817693,4.03109042322009,,0.0,0.0,,0.0,
3.8860165977819165,4.0288281171924325,4.009091293685465,4.041573208531929,,4.440892098500626e-16,8.881784197001252e-16,,0.0,
4.041327628888327,4.108273116700505,4.050976425466305,4.0496528245267065,,0.0,0.0,,-8.881784197001252e-16,
3.9639350389763344,3.855682818798123,4.052291327106549,4.8555935785213356,,-4.440892098500626e-16,0.0,,8.881784197001252e-16,
3.852887229310559,4.103207647741628,3.885471657400839,4.0491542326412535,,0.0,0.0,,8.881784197001252e-16,
3.883293447536851,3.8062691707076812,4.010561182649232,3.8831323695831625,,0.0,-4.440892098500626e-16,,4.440892098500626e-16,
3.913200736416647,4.190221473776956,4.561148101140741,4.013904956535198,,0.0,0.0,,0.0,
3.507698532804343,3.93103866678044,3.2219442888035235,3.9769058324100532,,0.0,0.0,,-4.440892098500626e-16,
4.248153717055367,4.258056129245498,4.099783042887527,4.071007860464144,,0.0,0.0,,0.0,
4.093673655302134,3.9741797896990025,3.840439688363363,3.9499813922848728,,0.0,4.440892098500626e-16,,4.440892098500626e-16,
3.8105880127247205,3.8591721910448515,4.267197909684809,4.010615040043329,,-4.440892098500626e-16,4.440892098500626e-16,,0.0,
4.140566386050601,4.133432592961113,3.7051844758453196,4.025832833098432,,0.0,0.0,,0.0,
3.896333790251348,3.922996431089697,4.205071818677052,4.043019292514273,,0.0,0.0,,0.0,
4.194609159098867,4.063065345375794,4.003123780170373,3.908139327091019,,0.0,0.0,,0.0,
4.271767784174931,4.0928769832010845,4.137581056612235,4.021006093015364,,0.0,8.881784197001252e-16,,0.0,
3.9929048319437705,3.840937646038794,4.04267362022807,3.8901855996965753,,4.440892098500626e-16,0.0,,-4.440892098500626e-16,
3.891416194369402,4.011960244165039,3.994362276977452,4.043658986642397,,0.0,0.0,,0.0,
