,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
CF_10_8_14,67.0,70.0,67.0,72.0,76.0,89.0,77.0,70.0,80.0,74.0,67.0,76.0,94.0,81.0,72.0,52.0,62.0,67.0,69.0,70.0,83.0,63.0,68.0,72.0,67.0,59.0,75.0,65.0,60.0,62.0,60.0,54.0,55.0,49.0,45.0,53.0,64.0,57.0,56.0,69.0,70.0,79.0,80.0,62.0,54.0,69.0,65.0,68.0,65.0,70.0,62.0,62.0,45.0,65.0,74.0,53.0,60.0,67.0,47.0,49.0,44.0,58.0,71.0,76.0,64.0,52.0,58.0,82.0,66.0,69.0,70.0,67.0,65.0,57.0,77.0,68.0,59.0,56.0,76.0,79.0,52.0,58.0,55.0,48.0,55.0,84.0,60.0,68.0,74.0,69.0,76.0,58.0,86.0,69.0,60.0,60.0,62.0,80.0,58.0,66.0,64.0,56.0,79.0,89.0,87.0,94.0,64.0,57.0,61.0,89.0,64.0,94.0,57.0,81.0,82.0,54.0,80.0,60.0,57.0,84.0,87.0,83.0,48.0,66.0,60.0,76.0,,66.97619047619048,11.398571339050704
CF_09_29_15,59.0,57.0,62.0,72.0,89.0,85.0,72.0,66.0,83.0,68.0,64.0,73.0,84.0,79.0,70.0,64.0,60.0,52.0,62.0,57.0,77.0,60.0,66.0,65.0,61.0,54.0,71.0,58.0,56.0,58.0,55.0,47.0,52.0,45.0,47.0,56.0,65.0,55.0,60.0,71.0,71.0,77.0,71.0,61.0,46.0,72.0,62.0,63.0,70.0,68.0,62.0,65.0,47.0,62.0,61.0,57.0,53.0,65.0,45.0,51.0,41.0,48.0,65.0,80.0,57.0,60.0,60.0,84.0,56.0,64.0,74.0,56.0,62.0,57.0,72.0,59.0,55.0,58.0,57.0,82.0,56.0,64.0,74.0,76.0,67.0,77.0,64.0,75.0,75.0,71.0,80.0,86.0,90.0,79.0,89.0,66.0,57.0,70.0,44.0,45.0,63.0,66.0,49.0,82.0,46.0,88.0,50.0,83.0,48.0,84.0,46.0,94.0,55.0,78.0,80.0,51.0,69.0,62.0,48.0,76.0,83.0,76.0,66.0,49.0,52.0,75.0,,64.656,12.154319556065968
CF_10_10_16,73.0,64.0,64.0,69.0,75.0,81.0,70.0,67.0,74.0,68.0,66.0,70.0,97.0,75.0,72.0,84.0,61.0,65.0,70.0,67.0,77.0,62.0,70.0,69.0,66.0,72.0,73.0,62.0,56.0,62.0,61.0,57.0,59.0,56.0,56.0,60.0,82.0,76.0,71.0,89.0,87.0,84.0,93.0,82.0,62.0,86.0,88.0,84.0,89.0,86.0,78.0,81.0,65.0,80.0,77.0,60.0,62.0,72.0,55.0,51.0,54.0,63.0,82.0,94.0,71.0,66.0,67.0,90.0,68.0,79.0,83.0,71.0,76.0,73.0,82.0,78.0,74.0,67.0,78.0,82.0,72.0,75.0,83.0,69.0,70.0,90.0,67.0,85.0,90.0,99.0,88.0,88.0,93.0,81.0,96.0,70.0,71.0,85.0,62.0,71.0,74.0,80.0,79.0,93.0,89.0,95.0,66.0,97.0,79.0,95.0,68.0,101.0,64.0,90.0,95.0,61.0,81.0,67.0,81.0,88.0,94.0,94.0,66.0,68.0,62.0,89.0,,75.36,11.696015312641684
CF 10_2017,78.0,59.0,63.0,67.0,75.0,75.0,63.0,61.0,56.0,63.0,65.0,69.0,101.0,75.0,71.0,82.0,62.0,58.0,59.0,54.0,71.0,51.0,71.0,61.0,61.0,71.0,69.0,60.0,50.0,56.0,67.0,53.0,54.0,53.0,52.0,54.0,51.0,67.0,62.0,77.0,84.0,88.0,83.0,72.0,64.0,83.0,85.0,84.0,77.0,77.0,73.0,77.0,62.0,72.0,84.0,51.0,65.0,76.0,49.0,55.0,48.0,60.0,89.0,92.0,72.0,70.0,65.0,90.0,85.0,71.0,78.0,84.0,83.0,74.0,79.0,74.0,52.0,67.0,79.0,69.0,73.0,74.0,80.0,58.0,78.0,86.0,62.0,85.0,83.0,76.0,86.0,68.0,92.0,67.0,94.0,75.0,58.0,82.0,55.0,53.0,75.0,78.0,76.0,94.0,93.0,94.0,61.0,100.0,81.0,95.0,61.0,104.0,67.0,94.0,94.0,51.0,89.0,61.0,56.0,96.0,94.0,87.0,56.0,68.0,59.0,86.0,,71.824,13.625796218226858
CF 10_5_2018,78.0,69.0,65.0,67.0,84.0,79.0,65.0,58.0,65.0,63.0,65.0,67.0,107.0,75.0,79.0,98.0,76.0,63.0,68.0,66.0,79.0,58.0,76.0,63.0,65.0,143.0,77.0,57.0,50.0,54.0,95.0,48.0,51.0,48.0,49.0,54.0,91.0,61.0,65.0,74.0,72.0,86.0,91.0,68.0,61.0,82.0,88.0,86.0,90.0,82.0,74.0,62.0,54.0,72.0,67.0,55.0,56.0,76.0,45.0,52.0,44.0,51.0,86.0,93.0,71.0,56.0,58.0,88.0,78.0,77.0,77.0,80.0,67.0,67.0,77.0,68.0,69.0,61.0,81.0,87.0,79.0,61.0,78.0,59.0,77.0,84.0,60.0,81.0,84.0,78.0,84.0,72.0,90.0,80.0,82.0,72.0,62.0,82.0,54.0,53.0,64.0,63.0,67.0,83.0,94.0,90.0,58.0,98.0,79.0,100.0,62.0,102.0,68.0,92.0,88.0,48.0,88.0,61.0,54.0,93.0,92.0,87.0,54.0,69.0,52.0,82.0,,72.384,15.53600604630957
CF 10_15_19,86.0,69.0,68.0,73.0,93.0,89.0,68.0,62.0,79.0,67.0,67.0,70.0,108.0,78.0,96.0,106.0,84.0,66.0,76.0,73.0,83.0,61.0,81.0,66.0,68.0,151.0,86.0,61.0,54.0,60.0,82.0,50.0,57.0,53.0,57.0,57.0,71.0,82.0,73.0,83.0,73.0,84.0,84.0,73.0,68.0,87.0,83.0,77.0,70.0,69.0,69.0,79.0,60.0,74.0,82.0,60.0,57.0,69.0,47.0,43.0,44.0,55.0,83.0,98.0,70.0,63.0,62.0,83.0,58.0,79.0,77.0,72.0,72.0,72.0,83.0,78.0,64.0,64.0,83.0,92.0,80.0,72.0,83.0,77.0,76.0,94.0,64.0,92.0,82.0,78.0,85.0,81.0,93.0,82.0,97.0,79.0,68.0,59.0,58.0,57.0,64.0,66.0,74.0,89.0,87.0,94.0,67.0,118.0,67.0,48.0,68.0,107.0,78.0,85.0,87.0,53.0,95.0,93.0,51.0,99.0,88.0,86.0,75.0,74.0,57.0,89.0,,75.208,15.700984148320321
CF 10_6_20,105.0,79.0,78.0,77.0,107.0,93.0,72.0,64.0,85.0,71.0,69.0,73.0,111.0,80.0,98.0,121.0,89.0,71.0,80.0,77.0,92.0,70.0,82.0,64.0,75.0,154.0,87.0,60.0,55.0,61.0,87.0,54.0,59.0,54.0,54.0,59.0,68.0,68.0,79.0,87.0,77.0,79.0,88.0,70.0,68.0,75.0,79.0,73.0,70.0,67.0,70.0,78.0,59.0,72.0,78.0,62.0,59.0,66.0,47.0,45.0,40.0,53.0,85.0,97.0,71.0,64.0,64.0,82.0,60.0,73.0,83.0,78.0,74.0,71.0,78.0,74.0,68.0,57.0,80.0,86.0,83.0,72.0,82.0,78.0,72.0,91.0,69.0,88.0,85.0,82.0,88.0,79.0,88.0,83.0,92.0,80.0,64.0,64.0,61.0,58.0,66.0,66.0,82.0,86.0,88.0,92.0,62.0,112.0,71.0,97.0,65.0,102.0,73.0,90.0,84.0,54.0,98.0,92.0,58.0,98.0,88.0,89.0,65.0,75.0,69.0,91.0,,76.56,15.929481695798346
CF 10_2_21,121.0,69.0,73.0,64.0,95.0,66.0,57.0,60.0,63.0,65.0,65.0,65.0,100.0,76.0,98.0,70.0,82.0,58.0,66.0,68.0,88.0,67.0,82.0,54.0,51.0,135.0,59.0,66.0,52.0,55.0,48.0,50.0,54.0,52.0,54.0,52.0,62.0,61.0,71.0,83.0,76.0,78.0,79.0,72.0,62.0,71.0,76.0,70.0,68.0,66.0,65.0,76.0,60.0,69.0,75.0,61.0,61.0,64.0,44.0,46.0,38.0,51.0,79.0,94.0,69.0,58.0,59.0,78.0,54.0,74.0,82.0,70.0,70.0,73.0,76.0,67.0,66.0,58.0,76.0,85.0,81.0,67.0,80.0,74.0,90.0,88.0,66.0,85.0,86.0,79.0,86.0,77.0,88.0,80.0,87.0,78.0,65.0,66.0,60.0,61.0,65.0,66.0,80.0,88.0,85.0,90.0,59.0,110.0,71.0,98.0,63.0,100.0,71.0,91.0,84.0,51.0,96.0,92.0,57.0,94.0,84.0,85.0,67.0,74.0,61.0,91.0,,,
CF_9_28_22,108.0,73.0,73.0,70.0,98.0,82.0,68.0,59.0,87.0,69.0,66.0,69.0,102.0,88.0,100.0,109.0,107.0,63.0,76.0,56.0,83.0,52.0,73.0,51.0,64.0,116.0,68.0,62.0,51.0,56.0,59.0,48.0,51.0,50.0,52.0,56.0,61.0,53.0,58.0,73.0,58.0,72.0,83.0,69.0,59.0,78.0,74.0,67.0,73.0,67.0,64.0,60.0,54.0,62.0,73.0,69.0,54.0,69.0,51.0,58.0,45.0,54.0,77.0,67.0,67.0,62.0,57.0,76.0,58.0,69.0,69.0,51.0,66.0,74.0,78.0,69.0,59.0,56.0,62.0,79.0,70.0,47.0,66.0,84.0,72.0,90.0,52.0,79.0,74.0,58.0,75.0,76.0,86.0,77.0,85.0,74.0,59.0,64.0,46.0,45.0,50.0,61.0,76.0,84.0,76.0,78.0,48.0,98.0,69.0,87.0,56.0,96.0,76.0,78.0,79.0,52.0,85.0,80.0,51.0,93.0,83.0,82.0,48.0,76.0,54.0,83.0,,,
